setting,Accuracy,Precision,Recall,F-score,adjAccuracy,adjPrecision,adjRecall,adjF-score
24-12-05_14-00-43anomaly_detection_AE_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.981241,0.38009049773755654,0.5419355,0.44680852,0.9999549,0.99678457,1.0,0.9983897
24-12-05_14-03-00anomaly_detection_AE_UCRA_002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.98374367,0.06952965235173825,0.11333334,0.086185046,0.99925596,0.9009009,1.0,0.9478673
24-12-05_14-05-15anomaly_detection_AE_UCRA_003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9846005,0.12815533980582525,0.22,0.1619632,0.99878246,0.84745765,1.0,0.9174312
24-12-05_14-07-36anomaly_detection_AE_UCRA_004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.8865327,0.045743329097839895,0.18,0.07294833,0.9640377,0.40816328,1.0,0.5797101
24-12-05_14-07-54anomaly_detection_AE_UCRA_005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.0002480159,0.000248015873015873,1.0,0.0004959088,0.0002480159,0.0002480159,1.0,0.0004959088
24-12-05_14-37-43anomaly_detection_AE_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.981241,0.38009049773755654,0.5419355,0.44680852,0.9999549,0.99678457,1.0,0.9983897
24-12-05_14-39-50anomaly_detection_AE_UCRA_002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.98374367,0.06952965235173825,0.11333334,0.086185046,0.99925596,0.9009009,1.0,0.9478673
24-12-05_14-47-10anomaly_detection_AE_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.981241,0.38009049773755654,0.5419355,0.44680852,0.9999549,0.99678457,1.0,0.9983897
24-12-05_14-49-19anomaly_detection_AE_UCRA_002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.98374367,0.06952965235173825,0.11333334,0.086185046,0.99925596,0.9009009,1.0,0.9478673
24-12-05_14-51-26anomaly_detection_AE_UCRA_003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9846005,0.12815533980582525,0.22,0.1619632,0.99878246,0.84745765,1.0,0.9174312
24-12-05_14-53-30anomaly_detection_AE_UCRA_004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.8865327,0.045743329097839895,0.18,0.07294833,0.9640377,0.40816328,1.0,0.5797101
24-12-05_14-53-48anomaly_detection_AE_UCRA_005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.0002480159,0.000248015873015873,1.0,0.0004959088,0.0002480159,0.0002480159,1.0,0.0004959088
24-12-05_14-57-11anomaly_detection_AE_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.980993,0.23515439429928742,0.15967742,0.19020173,0.99993235,0.9951846,1.0,0.9975865
24-12-05_14-59-23anomaly_detection_AE_UCRA_002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.006764069,0.006764069264069264,1.0,0.013437248,0.006764069,0.006764069,1.0,0.013437248
24-12-05_15-02-16anomaly_detection_AE_UCRA_003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.99021465,0.2518518518518518,0.22666667,0.23859648,0.99981964,0.97402596,1.0,0.9868421
24-12-05_15-04-22anomaly_detection_AE_UCRA_004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.921875,0.05578512396694215,0.135,0.078947365,0.9905754,0.7246377,1.0,0.84033614
24-12-05_15-04-41anomaly_detection_AE_UCRA_005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.0002480159,0.000248015873015873,1.0,0.0004959088,0.0002480159,0.0002480159,1.0,0.0004959088
24-12-05_15-05-07anomaly_detection_AE_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.981241,0.38009049773755654,0.5419355,0.44680852,0.9999549,0.99678457,1.0,0.9983897
24-12-05_15-07-10anomaly_detection_AE_UCRA_002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.98374367,0.06952965235173825,0.11333334,0.086185046,0.99925596,0.9009009,1.0,0.9478673
24-12-05_15-09-20anomaly_detection_AE_UCRA_003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9846005,0.12815533980582525,0.22,0.1619632,0.99878246,0.84745765,1.0,0.9174312
24-12-05_15-11-41anomaly_detection_AE_UCRA_004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.8865327,0.045743329097839895,0.18,0.07294833,0.9640377,0.40816328,1.0,0.5797101
24-12-05_15-11-59anomaly_detection_AE_UCRA_005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.0002480159,0.000248015873015873,1.0,0.0004959088,0.0002480159,0.0002480159,1.0,0.0004959088
24-12-05_15-12-26anomaly_detection_AE_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9813988,0.3670557717250324,0.45645162,0.4069015,0.999053,0.93655586,1.0,0.96723866
